1,1
2,2
3,3
4,4
5,5
6,6
7,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
25,20
26,21
27,22
28,23
29,24
30,25
31,26
32,27
33,28
36,29
39,30
40,31
41,32
42,33
43,34
44,35
47,36
48,37
49,38
50,39
51,40
52,41
53,42
63,43
64,44
65,45
66,46
67,47
68,48
69,49
70,50
71,51
72,52
73,53
74,54
75,55
76,56
77,57
78,58
79,59
80,60
81,61
82,62
83,63
84,64
85,65
86,66
87,67
88,68
89,69
90,70
91,71
92,72
93,73
94,74
95,75
96,76
97,77
98,78
99,79
100,80
101,81
102,82
103,83
104,84
105,85
111,86
112,87
117,88
122,89
124,90
125,91
126,92
127,93
128,94
129,95
130,96
131,97
137,98
138,99
139,100
140,101
141,102
143,103
144,104
146,105
147,106
148,107
149,108
150,109
151,110
152,111
153,112
154,113
155,114
156,115
157,116
158,117
159,118
160,119
161,120
162,121
163,122
164,123
165,124
166,125
167,126
168,127
169,128
170,129
171,130
172,131
173,132
174,133
175,134
176,135
177,136
178,137
179,138
180,139
181,140
182,141
183,142
184,143
185,144
186,145
187,146
188,147
189,148
190,149
191,150
192,151
193,152
194,153
195,154
199,155
252,156
253,157
256,158
257,159
259,160
260,161
261,162
262,163
266,164
267,165
269,166
270,167
271,168
272,169
274,170
275,171
276,172
279,173
280,174
285,175
286,176
288,177
289,178
290,179
291,180
294,181
296,182
297,183
298,184
299,185
300,186
301,187
303,188
304,189
305,190
306,191
307,192
308,193
309,194
310,195
311,196
312,197
313,198
314,199
315,200
316,201
317,202
318,203
319,204
320,205
321,206
322,207
323,208
324,209
325,210
326,211
327,212
328,213
329,214
330,215
331,216
332,217
333,218
335,219
336,220
337,221
338,222
339,223
340,224
341,225
342,226
343,227
349,228
350,229
351,230
352,231
358,232
359,233
362,234
363,235
364,236
365,237
366,238
367,239
368,240
369,241
370,242
371,243
372,244
373,245
374,246
375,247
376,248
377,249
378,250
379,251
380,252
381,253
382,254
383,255
384,256
385,257
386,258
387,259
394,260
395,261
400,262
401,263
407,264
408,265
409,266
410,267
411,268
427,269
428,270
429,271
430,272
433,273
434,274
437,275
438,276
439,277
440,278
441,279
442,280
443,281
444,282
445,283
446,284
447,285
448,286
449,287
450,288
451,289
452,290
462,291
463,292
464,293
465,294
466,295
467,296
468,297
469,298
470,299
471,300
474,301
475,302
476,303
477,304
478,305
479,306
480,307
481,308
482,309
489,310
490,311
491,312
492,313
493,314
494,315
495,316
496,317
497,318
498,319
499,320
500,321
501,322
502,323
503,324
504,325
505,326
508,327
509,328
510,329
511,330
512,331
514,332
515,333
516,334
517,335
518,336
519,337
521,338
522,339
523,340
524,341
526,342
527,343
528,344
529,345
531,346
532,347
533,348
534,349
535,350
536,351
537,352
538,353
539,354
542,355
543,356
544,357
545,358
546,359
